COMPOUND,PREDICTED,TRUE,SMILE
"Cholic_Acid,Deoxy-",-3.92,-4.62,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
Cilostazol,-4.16,-4.93,C3=C(OCCCCC1=NN=N[N]1C2CCCCC2)C=CC4=C3CCC(N4)=O
Cimetidine,-1.94,-1.52,C1=NC(=C([NH]1)C)CSCCNC(NC#N)=NC
Ciprofloxacin,-3.21,-3.57,C2=C(N1CCNCC1)C(=CC4=C2N(C3CC3)C=C(C(O)=O)C4=O)F
Cisapride,-3.92,-6.78,O=C(c1c(OC)cc(N)c([Cl])c1)NC1C(OC)CN(CC1)CCCOc1ccc(F)cc1
Corticosterone,-2.97,-3.29,[C@@H]23[C@H]([C@H]1[C@]([C@@H](C(CO)=O)CC1)(C)C[C@@H]2O)CCC4=CC(=O)CC[C@]34C
Cortisone_Acetate,-3.19,-4.22,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)CC2)C)C(C3)=O)CC[C@@]4(C(COC(C)=O)=O)O)C
Cyclosporine_A,-6.96,-5.03,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Daidzein,-3.55,-5.23,c1cc(ccc1c2coc3cc(ccc3c2=O)O)O
Desipramine,-4.05,-3.83,CNCCCN1c2ccccc2CCc3c1cccc3
Dexamethasone,-3.35,-3.56,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
Diazoxide,-3.22,-3.43,C1=C2C(=CC(=C1)Cl)[S](N=C(N2)C)(=O)=O
Diclofenac,-4.55,-5.34,C1=C(C(=CC=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
Diflorasone_Diacetate,-3.83,-4.82,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F
Difloxacin,-4.46,-3.83,C2=C(N1CCN(C)CC1)C(=CC4=C2N(C3=CC=C(F)C=C3)C=C(C(O)=O)C4=O)F
Diltiazem,-4.04,-3.02,[C@@H]1([C@H](C(N(CCN(C)C)C2=C(S1)C=CC=C2)=O)OC(C)=O)C3=CC=C(OC)C=C3
Diphenylamine,-3.08,-3.53,c1ccc(cc1)Nc2ccccc2
"DOPA,L-",-1.98,-1.76,OC1=C(C=CC(=C1)C[C@H](N)C(=O)O)O
Enalapril,-2.98,-1.36,[C@@H]2(N(C([C@@H](N[C@@H](CCC1=CC=CC=C1)C(OCC)=O)C)=O)CCC2)C(O)=O
"Estradiol,17α-",-3.92,-5,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@H]2O)O
Estrone,-3.99,-5.38,[C@H]34[C@H]2[C@@H](C1=C(C=C(O)C=C1)CC2)CC[C@@]3(C(=O)CC4)C
Ethoxzolamide,-3.59,-3.76,C1=C(OCC)C=CC2=C1SC(=N2)[S](N)(=O)=O
Etoposide,-3.87,-3.6,[C@H]1(C5=C([C@H](C2[C@@H]1C(OC2)=O)O[C@@H]3O[C@H]4[C@H]([C@@H]([C@H]3O)O)O[C@@H](OC4)C)C=C6C(=C5)OCO6)C7=CC(=C(C(=C7)OC)O)OC
Eucalyptol,-1.45,-1.66,CC1(C2CCC(O1)(CC2)C)C
Fenbufen,-3.43,-5.18,O=C(O)CCC(=O)c1ccc(cc1)c1ccccc1
Flumequine,-3.35,-3.9,O=C1C(C(O)=O)=CN2C(C)CCc3c2c1cc(F)c3
Flurbiprofen,-3.95,-4.34,O=C(O)C(C)c1cc(F)c(cc1)c1ccccc1
Folic_Acid,-3.45,-5.96,[C@H](NC(C3=CC=C(NCC1=NC2=C(N=C1)NC(=NC2=O)N)C=C3)=O)(CCC(O)=O)C(O)=O
Ganciclovir,-2.76,-1.78,C1=NC2=C([N]1COC(CO)CO)NC(=NC2=O)N
Glipizide,-3.92,-5.61,C1=CC(=CC=C1[S](NC(NC2CCCCC2)=O)(=O)=O)CCNC(C3=NC=C(N=C3)C)=O
Griseofulvin,-3.66,-4.52,C[C@@H]1CC(=O)C=C([C@]12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)OC
Haloperidol,-4.4,-5.71,O=C(c1ccc(F)cc1)CCCN1CCC(CC1)(O)c1ccc([Cl])cc1
Ibrutinib,-5.3,-4.85,C=CC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N
Indinavir,-4.6,-4.53,O[C@@H]1(Cc2ccccc2[C@@H]1(NC(=O)[C@H](Cc1ccccc1)(C[C@@H](CN1[C@@H](CN(CC1)Cc1cnccc1)(C(=O)NC(C)(C)C))(O))))
Indomethacin,-5.33,-5.48,C1=CC(=CC2=C1[N](C(=C2CC(O)=O)C)C(C3=CC=C(Cl)C=C3)=O)OC
Indoprofen,-3.63,-4.65,C1=CC(=CC=C1N2C(C3=C(C2)C=CC=C3)=O)C(C(O)=O)C
Ketoconazole,-4.79,-5.47,[C@]4(C1=CC=C(C=C1Cl)Cl)(O[C@@H](COC3=CC=C(N2CCN(C(C)=O)CC2)C=C3)CO4)C[N]5C=CN=C5
Maprotiline,-4.54,-4.62,CNCCCC12c3c(cccc3)C(CC1)c3c2cccc3
Metolazone,-4.31,-3.88,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O
Nabumetone,-3.54,-4.4,C(=O)(CCc1cc2c(cc(OC)cc2)cc1)C
Naproxen,-3.61,-4.23,C1=C2C(=CC=C1C(C(O)=O)C)C=C(OC)C=C2
Nelfinavir,-6.08,-6.21,Cc1c(cccc1O)C(=O)N[C@H]([C@@H](CN1[C@@H](C[C@]2([C@@](C1)(CCCC2)([H]))([H]))(C(=O)NC(C)(C)C))(O))(CSc1ccccc1)
Nevirapine,-3.52,-3.41,C4=NC1=C(NC(C3=C(N1C2CC2)N=CC=C3)=O)C(=C4)C
Nifedipine,-3.57,-4.71,C1=CC=CC(=C1C2C(=C(NC(=C2C(OC)=O)C)C)C(OC)=O)[N+]([O-])=O
Nimesulide,-4.11,-4.74,C1=C([N+](=O)[O-])C=CC(=C1OC2=CC=CC=C2)N[S](C)(=O)=O
Norfloxacin,-3.08,-2.88,C1=C3C(=CC(=C1N2CCNCC2)F)C(C(=CN3CC)C(O)=O)=O
Nortriptyline,-4.52,-3.93,C1=CC=CC2=C1C(C3=C(CC2)C=CC=C3)=CCCNC
Noscapine,-4.47,-4.48,[C@@H]3(C1=C(C=C2C(=C1OC)OCO2)CCN3C)[C@@H]5C4=C(C(=C(OC)C=C4)OC)C(O5)=O
Ofloxacin,-3.45,-2.03,CC1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)O
Oxazepam,-3.72,-4.03,C1=C(Cl)C=CC2=C1C(=NC(O)C(N2)=O)C3=CC=CC=C3
Oxyphenbutazone,-4.17,-3.94,C3=C(N1C(=O)C(CCCC)C(N1C2=CC=CC=C2)=O)C=CC(=C3)O
Papaverine,-4.69,-4.33,C1=C(OC)C(=CC2=CC=NC(=C12)CC3=CC=C(C(=C3)OC)OC)OC
Perphenazine,-4.6,-4.48,C1=C(Cl)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN4CCN(CCO)CC4
Phenacetin,-1.78,-2.3,C1=CC(=CC=C1NC(C)=O)OCC
Phenazopyridine,-3.2,-4.02,C1=C(C(=NC(=C1)N)N)N=NC2=CC=CC=C2
Pindolol,-2.96,-3.75,C1=C[NH]C2=C1C(=CC=C2)OCC(CNC(C)C)O
Pravastatin,-2.71,-4.86,C(=O)(OC1C2C(C=CC(C2CCC(O)CC(O)CC(=O)O)C)=CC(O)C1)C(CC)C
"Prednisolone,Methyl-",-3.14,-3.33,C(=O)(C1(C2(C(C3C(C4(C(=CC(=O)C=C4)C(C3)C)C)C(O)C2)CC1)C)O)CO
Primidone,-2.28,-2.53,C1=CC=CC=C1C2(C(NCNC2=O)=O)CC
Probenecid,-3.7,-4.83,C1=CC(=CC=C1[S](N(CCC)CCC)(=O)=O)C(O)=O
Promazine,-4.25,-4.45,C1=CC=CC3=C1N(C2=C(C=CC=C2)S3)CCCN(C)C
Promethazine,-4.54,-4.38,C1=CC=CC2=C1N(C3=C(S2)C=CC=C3)CC(C)N(C)C
Repaglinide,-5.82,-4.77,[C@H](C2=C(N1CCCCC1)C=CC=C2)(NC(CC3=CC=C(C(=C3)OCC)C(O)=O)=O)CC(C)C
"Resveratrol,trans-",-3.53,-3.75,c1cc(ccc1/C=C/c2cc(cc(c2)O)O)O
Ritonavir,-6.64,-5.17,[C@H](CC1=CC=CC=C1)(C[C@@H]([C@H](CC2=CC=CC=C2)NC(OCC3=CN=CS3)=O)O)NC([C@@H](NC(N(CC4=CSC(=N4)C(C)C)C)=O)C(C)C)=O
Rofecoxib,-4.34,-4.61,C1=CC(=CC=C1C3=C(C2=CC=CC=C2)C(=O)OC3)[S](C)(=O)=O
Spironolactone,-4.15,-4.21,[C@@]45([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)C[C@H]2SC(C)=O)C)CC3)CC4)C)OC(=O)CC5
Strychnine,-3.22,-3.38,c1ccc2c(c1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5
Sulfasalazine,-5.26,-6.41,C2=C([S](=O)(=O)NC1=CC=CC=N1)C=CC(=C2)N\N=C3/C=C(C(=O)C=C3)C(O)=O
Sulfathiazole,-3.19,-2.62,C2=CN=C(N[S](=O)(=O)C1=CC=C(C=C1)N)S2
Sulfisomidine,-3.45,-2.16,Cc1cc(nc(n1)C)NS(=O)(=O)c2ccc(cc2)N
Sulfisoxazole,-3.51,-3.13,O=S(=O)(c1ccc(cc1)N)Nc2c(c(no2)C)C
Sulindac,-4.67,-4.96,C1=CC(=CC2=C1C(/C(=C2CC(O)=O)C)=C\C3=CC=C([S](C)=O)C=C3)F
Tetracaine,-2.71,-3.11,CCCCNc1ccc(cc1)C(=O)OCCN(C)C
Tetracycline,-3.85,-3.22,[C@@H]23C[C@@H]1[C@](O)(C4=C(C(=C1C(=O)[C@]2(O)C(=O)\C(C(=O)[C@H]3N(C)C)=C(/O)N)O)C(=CC=C4)O)C
Thiacetazone,-2.06,-3.5,C1=C(C=CC(=C1)NC(=O)C)/C=N/NC(=S)N
Triamcinolone,-3.11,-3.52,[C@]23([C@H]([C@H]1[C@]([C@](C(CO)=O)(O)[C@@H](C1)O)(C)C[C@@H]2O)CCC4=CC(=O)C=C[C@]34C)F
Triamterene,-3.47,-4.11,C3=C(C1=C(N=C2C(=N1)C(=NC(=N2)N)N)N)C=CC=C3
Warfarin,-3.76,-4.78,C3=C(C(C1=C(OC2=C(C1=O)C=CC=C2)O)CC(=O)C)C=CC=C3
Xanthine,-1.92,-3.6,N1C(C2=C(NC1=O)N=C[NH]2)=O
